Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2023-12-06,4.3228,4.34115,4.31874,4.32977
2023-12-07,4.32961,4.33856,4.3238,4.33176
2023-12-08,4.33179,4.33894,4.32566,4.33773
2023-12-11,4.33112,4.34409,4.32704,4.33554
2023-12-12,4.33594,4.34488,4.32598,4.32867
2023-12-13,4.32877,4.332,4.2928,4.30302
2023-12-14,4.30276,4.32347,4.29406,4.31139
2023-12-15,4.31042,4.33477,4.3038,4.33437
2023-12-18,4.32451,4.35287,4.32047,4.32372
2023-12-19,4.32353,4.34543,4.31958,4.32453
2023-12-20,4.32428,4.34834,4.32412,4.3436
